year,comuna_datachile_id,felony_id,cases
2011,40,4,0
2011,40,5,3
2011,40,6,21
2011,40,7,21
2011,40,8,2
2011,40,9,64
2011,40,10,74
2011,40,11,10
2011,40,12,64
2011,40,13,0
2011,40,14,0
2012,40,1,4
2012,40,2,2
2012,40,3,67
2012,40,4,1
2012,40,5,3
2012,40,6,37
2012,40,7,26
2012,40,8,0
2012,40,9,52
2012,40,10,44
2012,40,11,9
2012,40,12,35
2012,40,13,0
2012,40,14,2
2013,40,1,3
2013,40,2,1
2013,40,3,61
2013,40,4,0
2013,40,5,4
2013,40,6,26
2013,40,7,30
2013,40,8,1
2013,40,9,45
2013,40,10,49
2013,40,11,8
2013,40,12,41
2013,40,13,1
2013,40,14,2
2014,40,1,8
2014,40,2,3
2014,40,3,60
2014,40,4,2
2014,40,5,10
2014,40,6,25
2014,40,7,23
2014,40,8,0
2014,40,9,62
2014,40,10,52
2014,40,11,9
2014,40,12,43
2014,40,13,0
2014,40,14,0
2015,40,1,4
2015,40,2,1
2015,40,3,36
2015,40,4,1
2015,40,5,1
2015,40,6,17
2015,40,7,17
2015,40,8,0
2015,40,9,49
2015,40,10,48
2015,40,11,10
2015,40,12,38
2015,40,13,0
2015,40,14,1
2016,40,1,3
2016,40,2,2
2016,40,3,29
2016,40,4,1
2016,40,5,2
2016,40,6,7
2016,40,7,19
2016,40,8,0
2016,40,9,49
2016,40,10,43
2016,40,11,6
2016,40,12,37
2016,40,13,0
2016,40,14,0
2005,41,1,157
2005,41,2,46
2005,41,3,638
2005,41,4,9
2005,41,5,95
2005,41,6,416
2005,41,7,88
2005,41,8,30
2005,41,9,264
2005,41,10,345
2005,41,11,51
2005,41,12,294
2005,41,13,0
2005,41,14,9
2006,41,1,108
2006,41,2,41
2006,41,3,670
2006,41,4,2
2006,41,5,74
2006,41,6,329
2006,41,7,196
2006,41,8,69
2006,41,9,276
2006,41,10,331
2006,41,11,56
2006,41,12,275
2006,41,13,3
2006,41,14,14
2007,41,1,155
2007,41,2,51
2007,41,3,737
2007,41,4,5
2007,41,5,85
2007,41,6,502
2007,41,7,128
2007,41,8,17
2007,41,9,291
2007,41,10,371
2007,41,11,62
2007,41,12,309
2007,41,13,1
2007,41,14,8
2008,41,1,145
2008,41,2,58
2008,41,3,726
2008,41,4,9
2008,41,5,52
2008,41,6,559
2008,41,7,99
2008,41,8,7
2008,41,9,237
2008,41,10,465
2008,41,11,62
2008,41,12,403
2008,41,13,2
2008,41,14,7
2009,41,1,193
2009,41,2,66
2009,41,3,691
2009,41,4,14
2009,41,5,100
2009,41,6,428
2009,41,7,121
2009,41,8,28
2009,41,9,289
2009,41,10,443
2009,41,11,60
2009,41,12,383
2009,41,13,1
2009,41,14,14
2010,41,1,126
2010,41,2,43
2010,41,3,548
2010,41,4,38
2010,41,5,71
2010,41,6,257
2010,41,7,171
2010,41,8,11
2010,41,9,347
2010,41,10,443
2010,41,11,56
2010,41,12,387
2010,41,13,2
2010,41,14,17
2011,41,1,252
2011,41,2,70
2011,41,3,805
2011,41,4,60
2011,41,5,146
2011,41,6,395
2011,41,7,193
2011,41,8,11
2011,41,9,529
2011,41,10,661
2011,41,11,99
2011,41,12,562
2011,41,13,0
2011,41,14,14
2012,41,1,205
2012,41,2,58
2012,41,3,819
2012,41,4,74
2012,41,5,129
2012,41,6,388
2012,41,7,219
2012,41,8,9
2012,41,9,493
2012,41,10,455
2012,41,11,63
2012,41,12,392
2012,41,13,0
2012,41,14,10
2013,41,1,204
2013,41,2,103
2013,41,3,947
2013,41,4,59
2013,41,5,163
2013,41,6,502
2013,41,7,209
2013,41,8,14
2013,41,9,476
2013,41,10,449
2013,41,11,58
2013,41,12,391
2013,41,13,0
2013,41,14,7
2014,41,1,204
2014,41,2,87
2014,41,3,695
2014,41,4,81
2014,41,5,94
2014,41,6,377
2014,41,7,131
2014,41,8,12
2014,41,9,454
2014,41,10,310
2014,41,11,52
2014,41,12,258
2014,41,13,2
2014,41,14,14
2015,41,1,193
2015,41,2,92
2015,41,3,484
2015,41,4,61
2015,41,5,90
2015,41,6,219
2015,41,7,103
2015,41,8,11
2015,41,9,424
2015,41,10,270
2015,41,11,43
2015,41,12,227
2015,41,13,1
2015,41,14,10
2016,41,1,204
2016,41,2,101
2016,41,3,552
2016,41,4,61
2016,41,5,116
2016,41,6,263
2016,41,7,109
2016,41,8,3
2016,41,9,391
2016,41,10,304
2016,41,11,65
2016,41,12,239
2016,41,13,0
2016,41,14,7
2005,42,1,0
2005,42,2,0
2005,42,3,11
2005,42,4,0
2005,42,5,0
2005,42,6,3
2005,42,7,5
2005,42,8,3
2005,42,9,32
2005,42,10,23
2005,42,11,5
2005,42,12,18
2005,42,13,0
2005,42,14,1
2006,42,1,2
2006,42,2,0
2006,42,3,5
2006,42,4,0
2006,42,5,0
2006,42,6,0
2006,42,7,5
2006,42,8,0
2006,42,9,27
2006,42,10,29
2006,42,11,12
2006,42,12,17
2006,42,13,0
2006,42,14,0
2007,42,1,1
2007,42,2,0
2007,42,3,20
2007,42,4,0
2007,42,5,2
2007,42,6,7
2007,42,7,10
2007,42,8,1
2007,42,9,28
2007,42,10,25
2007,42,11,9
2007,42,12,16
2007,42,13,1
2007,42,14,2
2008,42,1,3
2008,42,2,0
2008,42,3,36
2008,42,4,1
2008,42,5,3
2008,42,6,7
2008,42,7,20
2008,42,8,5
2008,42,9,56
2008,42,10,55
2008,42,11,12
2008,42,12,43
2008,42,13,0
2008,42,14,0
2009,42,1,6
2009,42,2,0
2009,42,3,40
2009,42,4,0
2009,42,5,1
2009,42,6,10
2009,42,7,29
2009,42,8,0
2009,42,9,43
2009,42,10,46
2009,42,11,14
2009,42,12,32
2009,42,13,0
2009,42,14,0
2010,42,1,2
2010,42,2,0
2010,42,3,39
2010,42,4,0
2010,42,5,1
2010,42,6,12
2010,42,7,21
2010,42,8,5
2010,42,9,60
2010,42,10,20
2010,42,11,9
2010,42,12,11
2010,42,13,0
2010,42,14,1
2011,42,1,2
2011,42,2,1
2011,42,3,17
2011,42,4,1
2011,42,5,1
2011,42,6,6
2011,42,7,9
2011,42,8,0
2011,42,9,69
2011,42,10,43
2011,42,11,19
2011,42,12,24
2011,42,13,1
2011,42,14,0
2012,42,1,1
2012,42,2,0
2012,42,3,42
2012,42,4,0
2012,42,5,1
2012,42,6,10
2012,42,7,30
2012,42,8,1
2012,42,9,67
2012,42,10,18
2012,42,11,9
2012,42,12,9
2012,42,13,0
2012,42,14,0
2013,42,1,1
2013,42,2,1
2013,42,3,23
2013,42,4,2
2013,42,5,3
2013,42,6,8
2013,42,7,10
2013,42,8,0
2013,42,9,37
2013,42,10,48
2013,42,11,21
2013,42,12,27
2013,42,13,1
2013,42,14,1
2014,42,1,1
2014,42,2,0
2014,42,3,23
2014,42,4,0
2014,42,5,1
2014,42,6,6
2014,42,7,15
2014,42,8,1
2014,42,9,29
2014,42,10,22
2014,42,11,5
2014,42,12,17
2014,42,13,1
2014,42,14,2
2015,42,1,0
2015,42,2,0
2015,42,3,17
2015,42,4,0
2015,42,5,0
2015,42,6,8
2015,42,7,8
2015,42,8,1
2015,42,9,49
2015,42,10,33
2015,42,11,6
2015,42,12,27
2015,42,13,0
2015,42,14,0
2016,42,1,0
2016,42,2,0
2016,42,3,21
2016,42,4,0
2016,42,5,0
2016,42,6,4
2016,42,7,17
2016,42,8,0
2016,42,9,38
2016,42,10,33
2016,42,11,5
2016,42,12,28
2016,42,13,0
2016,42,14,0
2005,43,1,456
2005,43,2,260
2005,43,3,2993
2005,43,4,87
2005,43,5,351
2005,43,6,1546
2005,43,7,618
2005,43,8,391
2005,43,9,2068
2005,43,10,812
2005,43,11,193
2005,43,12,619
2005,43,13,7
2005,43,14,27
2006,43,1,478
2006,43,2,338
2006,43,3,2676
2006,43,4,128
2006,43,5,433
2006,43,6,1274
2006,43,7,589
2006,43,8,252
2006,43,9,2039
2006,43,10,976
2006,43,11,191
2006,43,12,785
2006,43,13,5
2006,43,14,39
2007,43,1,526
2007,43,2,428
2007,43,3,2659
2007,43,4,171
2007,43,5,636
2007,43,6,1240
2007,43,7,526
2007,43,8,86
2007,43,9,2526
