year,election_id,comuna_datachile_id,total_electores,total_votacion
2017,1,41,64745,33203
2017,1,106,76227,38059
2017,1,152,156194,66439
2017,1,18,24289,11041
2017,1,328,12518,5438
2017,1,10,4440,1872
2017,1,250,9132,3984
2017,1,303,13008,5964
2017,1,248,4150,1919
2017,1,176,26264,11649
2017,1,181,8640,4248
2017,1,177,24219,10686
2017,1,131,21252,9344
2017,1,301,4511,2173
2017,1,342,19700,9261
2017,1,3,5290,1816
2017,1,136,21627,9775
2017,1,11,29925,14354
2017,1,76,30333,13624
2017,1,150,17286,8096
2017,1,28,28748,12048
2017,1,67,5834,2595
2017,1,320,8720,3985
2017,1,8,46499,21298
2017,1,263,9168,4283
2017,1,60,21603,9484
2017,1,149,11634,4454
2017,1,73,20745,7163
2017,1,89,7940,3033
2017,1,333,32115,13870
2017,1,326,18582,8192
2017,1,158,9068,4363
2017,1,240,12022,5329
2017,1,155,7396,3606
2017,1,314,228212,105543
2017,1,135,33042,14700
2017,1,214,6379,3005
2017,1,335,23004,10302
2017,1,72,19463,7567
2017,1,171,7290,2596
2017,1,77,7952,2990
2017,1,230,25198,9961
2017,1,338,50205,20917
2017,1,92,22184,9306
2017,1,222,22039,10061
2017,1,100,15396,6854
2017,1,147,22362,9539
2017,1,322,10438,4358
2017,1,316,13835,6718
2017,1,276,12801,5302
2017,1,29,24051,10262
2017,1,184,29880,13962
2017,1,98,11929,5371
2017,1,194,55662,24113
2017,1,46,9938,5097
2017,2,113,160432,66023
2017,2,5,51451,17583
2017,2,191,140080,67494
2017,2,295,9721,5055
2017,2,244,11114,6034
2017,2,234,8772,4289
2017,2,241,19632,9853
2017,2,273,13154,6781
2017,2,292,7699,3796
2017,2,233,174918,78568
2017,2,235,37759,19633
2017,2,50,4438,1565
2017,2,20,30955,12534
2017,2,169,15154,6469
2017,2,154,15801,7872
2017,2,94,12019,6448
2017,2,141,15642,7982
2017,2,95,15232,8316
2017,2,32,39467,17069
2017,2,6,37998,16134
2017,2,247,8795,3461
2017,2,80,11537,4782
2017,2,75,3636,1722
2017,2,254,9128,3173
2017,2,239,4280,1712
2017,2,47,12354,5907
2017,2,245,5957,2608
2017,2,246,21481,8792
2017,2,37,5124,1363
2017,2,104,8119,3438
2017,2,96,3631,1033
2017,2,198,2302,712
2017,2,54,52542,21319
2017,2,129,1196,496
2017,2,13,21890,8776
2017,2,48,4253,1829
2017,2,102,1590,618
2017,2,42,6209,1850
2017,2,272,2886,1342
2017,2,51,3267,1370
2017,2,187,699,238
2017,2,325,546,201
2017,2,179,21392,7729
2017,2,324,1747,555
2017,2,238,121321,48303
2017,2,274,825,252
2017,2,130,944,294
2017,2,287,1072,278
2017,2,225,6183,1861
2017,2,227,1416,279
2017,2,319,974,144
2017,2,17,2270,593
2017,2,59,79070,40384
2017,2,346,49911,24902
2017,2,318,13799,7175
2017,2,307,312750,135376
2017,2,112,78356,35356
2017,2,262,141758,66032
2017,2,90,126168,57583
2017,2,65,120866,58252
2017,2,110,68039,36851
2017,2,249,128414,62028
2017,2,264,115189,50557
2017,2,256,101796,48948
2017,2,231,163680,77783
2017,2,36,116335,52423
2017,2,145,90439,45166
2017,2,162,376042,195820
2017,2,35,67804,33307
2017,2,117,83686,43341
2017,2,144,93275,40989
2017,2,83,139338,65295
2017,2,121,105302,47366
2017,2,124,137423,51255
2017,2,300,82960,39030
2017,2,293,99938,51685
2017,2,205,95614,48635
2017,2,290,83527,41541
2017,2,120,301998,161224
2017,2,186,185175,117773
2017,2,160,99498,54261
2017,2,212,185846,94780
2017,2,125,89772,57213
2017,2,228,164311,94343
2017,2,134,251198,166006
2017,2,340,85041,62091
2017,2,143,74117,49389
2017,2,232,382776,167292
2017,2,221,20881,11438
2017,2,291,14860,7933
2017,2,280,221169,96273
2017,2,23,21303,12346
2017,2,14,67229,33306
2017,2,197,49054,24831
2017,2,172,92804,45070
2017,2,2,5776,2471
2017,2,74,24246,13112
2017,2,166,10440,5411
2017,2,296,7846,3991
2017,2,310,55214,30529
2017,2,211,68024,34797
2017,2,85,26123,13862
2017,2,114,25766,13417
2017,2,193,39404,20486
2017,2,329,132345,67140
2017,2,167,17904,8341
2017,2,132,15702,7766
2017,2,153,18267,8441
2017,2,71,5397,2704
2017,2,161,6854,3361
2017,2,200,33374,14185
2017,2,196,18706,9315
2017,2,97,13949,6687
2017,2,127,35313,17418
2017,2,269,30164,14446
2017,2,128,8982,4498
2017,2,12,172372,68462
2017,2,25,4023,944
2017,2,243,6246,1483
2017,2,99,2421,326
2017,2,108,9046,1502
2017,2,26,2820,803
2017,2,58,3379,894
2017,2,217,5000,2342
2017,2,226,11215,4180
2017,2,321,21912,8186
2017,2,165,6607,1599
2017,2,19,125030,51744
2017,2,189,2027,275
2017,2,297,5903,2454
2017,2,9,264504,109778
2017,2,170,9058,3698
2017,2,309,3588,623
2017,2,313,10133,3906
2017,2,39,11818,4808
2017,2,81,13938,4764
2017,2,68,117897,52940
2017,2,21,13921,6376
2017,2,317,12577,5529
2017,2,330,44821,19987
2017,2,93,5682,2692
2017,2,109,8030,3724
2017,2,4,4786,1929
2017,2,126,160944,79165
2017,2,122,4162,1883
2017,2,69,156212,70599
2017,2,7,11040,5488
2017,2,334,22062,10477
2017,2,195,4769,2307
2017,2,192,88386,38639
2017,2,271,4739,2031
2017,2,174,27066,11231
2017,2,62,12406,5578
2017,2,237,10130,4614
2017,2,111,27019,12190
2017,2,278,22174,10000
2017,2,156,17434,8023
2017,2,27,8778,4512
2017,2,123,29355,15640
2017,2,215,9119,4409
2017,2,16,17830,8555
2017,2,344,7356,4637
2017,2,202,5305,3198
2017,2,151,54875,27805
2017,2,283,14204,7910
2017,2,24,10666,5662
2017,2,268,8675,4824
2017,2,285,58965,29336
2017,2,242,13290,6396
2017,2,306,11567,6254
2017,2,201,6197,3311
2017,2,142,20097,10180
2017,2,33,11716,5861
2017,2,252,73240,35501
2017,2,118,14333,8028
2017,2,22,44286,21209
2017,2,183,19211,9494
2017,2,103,14810,7372
2017,2,331,285301,120167
2017,2,339,295845,140540
2017,2,257,22754,11217
2017,2,229,14026,7291
2017,2,31,21299,10892
2017,2,116,853,313
2017,2,63,35636,21326
2017,2,279,77270,38665
2017,2,30,17294,9011
2017,2,87,9295,5366
2017,2,86,11681,6701
2017,2,1,11810,6696
2017,2,308,10455,6839
2017,2,115,5302,1748
2017,2,253,129100,64255
2017,2,337,93284,46839
2017,2,138,37014,18281
2017,2,190,15216,7964
2017,2,259,189939,95271
2017,2,101,25837,13561
2017,2,175,19782,10338
2017,2,52,10799,5515
2017,2,159,32912,18374
2017,2,188,11900,6484
2017,2,266,21771,11397
2017,2,265,47074,23969
2017,2,163,11885,6480
2017,2,255,11916,6852
2017,2,302,38951,19636
2017,2,218,16114,8036
2017,2,216,12468,6427
2017,2,61,15198,7266
2017,2,56,6809,3524
2017,2,82,17461,8858
2017,2,133,19230,9422
2017,2,286,60962,32189
2017,2,45,29249,14824
2017,2,223,7930,4615
2017,2,178,14681,7847
2017,2,40,13377,6565
2017,2,304,30272,15234
2017,2,146,6554,3389
2017,2,236,3833,2123
2017,2,199,10094,5481
2017,2,213,9766,5218
2017,2,219,13345,7566
2017,2,180,5779,3115
2017,2,140,5912,3369
2017,2,119,3458,1909
2017,2,164,6570,3463
2017,2,203,6587,3481
2017,2,79,112702,59195
2017,2,315,23742,11518
2017,2,275,13178,7122
2017,2,173,37949,20509
2017,2,277,15366,8477
2017,2,105,9318,5325
2017,2,137,6787,3661
2017,2,332,4965,2940
2017,2,261,9446,5189
2017,2,311,174921,93191
2017,2,206,8097,4408
2017,2,270,11245,6089
2017,2,282,35529,17735
2017,2,168,20151,10718
2017,2,88,4332,2395
2017,2,209,10231,5979
2017,2,66,38901,19525
2017,2,78,10152,5183
2017,2,299,7847,4465
2017,2,139,80185,39744
2017,2,341,13995,7415
2017,2,57,17015,8221
2017,2,148,25681,12748
2017,2,204,37035,19467
2017,2,267,16427,8907
2017,2,336,13069,7004
2017,2,289,37641,19217
2017,2,34,37336,19565
2017,2,207,6851,4077
2017,2,38,9193,5231
2017,2,43,148780,77662
2017,2,281,46396,23179
2017,2,185,10235,5407
2017,2,284,4633,2295
2017,2,55,20925,11127
2017,2,220,10716,6155
2017,2,288,13950,7290
2017,2,84,12165,6509
2017,2,343,15687,7682
2017,2,208,8064,4177
2017,2,15,20161,10517
2017,2,251,14834,7646
2017,2,260,5504,3022
2017,2,224,5818,3221
2017,2,53,14930,8506
2017,2,327,6098,3481
2017,2,49,5647,3263
2017,2,258,10738,5777
2017,2,182,6049,3346
2017,2,294,10618,5883
2017,2,44,19940,11440
2017,2,64,199158,102430
2017,2,312,133151,64080
2017,2,210,41331,22075
2017,2,323,49053,25059
2017,2,91,10199,5362
2017,2,107,19339,9515
2017,2,305,12313,6287
2017,2,157,48093,24250
