year,election_id,comuna_datachile_id,total_votacion,total_electores
2016,5,1,5854,11560
2016,5,2,3102,5813
2016,5,3,3148,5319
2016,5,4,2633,4858
2016,5,5,14162,48675
2016,5,6,16194,37520
2016,5,7,5846,11013
2016,5,8,18387,46099
2016,5,9,66201,260299
2016,5,10,2515,4378
2016,5,11,13325,29547
2016,5,12,48958,168409
2016,5,13,7817,21576
2016,5,14,27302,64927
2016,5,15,10111,19906
2016,5,16,8745,17704
2016,5,17,865,2017
2016,5,18,14003,23844
2016,5,19,34793,122815
2016,5,20,12203,30439
2016,5,21,6593,13668
2016,5,22,17562,43763
2016,5,23,10046,20910
2016,5,24,5144,10477
2016,5,25,2475,4551
2016,5,26,1662,2978
2016,5,27,5393,8591
2016,5,28,12537,28368
2016,5,29,11698,23709
2016,5,30,7709,16962
2016,5,31,9464,21105
2016,5,32,13585,38678
2016,5,33,5730,11566
2016,5,34,17538,36979
2016,5,35,21687,67584
2016,5,36,36545,116423
2016,5,37,2200,5155
2016,5,38,5976,9209
2016,5,39,5571,11727
2016,5,40,6864,13299
2016,5,41,23787,63907
2016,5,42,2465,6184
2016,5,43,49509,146514
2016,5,44,8970,19485
2016,5,45,13793,28809
2016,5,46,5973,9811
2016,5,47,6726,12160
2016,5,48,2192,4165
