comuna_datachile_id,candidato_id,partido_id,votos_candidato,electo,year,election_id
56,786,8,1486,0,2016,5
57,8,0,78,0,2016,5
57,9,0,74,0,2016,5
57,787,8,5132,1,2016,5
57,788,8,4217,0,2016,5
57,789,8,294,0,2016,5
57,790,8,162,0,2016,5
58,8,0,30,0,2016,5
58,9,0,27,0,2016,5
58,791,16,816,1,2016,5
58,792,7,456,0,2016,5
58,793,8,413,0,2016,5
58,794,8,398,0,2016,5
59,8,0,1059,0,2016,5
59,9,0,622,0,2016,5
59,795,6,14905,1,2016,5
59,796,10,7652,0,2016,5
60,8,0,149,0,2016,5
60,9,0,158,0,2016,5
60,359,10,862,0,2016,5
60,797,8,5257,1,2016,5
60,798,6,1431,0,2016,5
60,799,8,1295,0,2016,5
60,800,8,1069,0,2016,5
61,8,0,105,0,2016,5
61,9,0,61,0,2016,5
61,801,8,3948,1,2016,5
61,802,8,2891,0,2016,5
61,803,8,384,0,2016,5
62,8,0,75,0,2016,5
62,9,0,79,0,2016,5
62,804,8,4815,1,2016,5
62,805,23,1468,0,2016,5
63,8,0,370,0,2016,5
63,9,0,199,0,2016,5
63,806,8,5031,1,2016,5
63,807,6,4337,0,2016,5
63,808,2,3138,0,2016,5
63,809,8,2380,0,2016,5
64,8,0,1757,0,2016,5
64,9,0,807,0,2016,5
64,810,9,25224,1,2016,5
64,811,6,18196,0,2016,5
64,812,8,5120,0,2016,5
64,813,8,4620,0,2016,5
64,814,16,805,0,2016,5
65,8,0,1203,0,2016,5
65,9,0,579,0,2016,5
65,77,5,826,0,2016,5
65,815,8,8485,1,2016,5
65,816,10,8302,0,2016,5
65,817,8,7174,0,2016,5
65,818,13,2094,0,2016,5
65,819,8,1677,0,2016,5
65,820,8,1034,0,2016,5
66,8,0,233,0,2016,5
66,9,0,202,0,2016,5
66,821,8,9184,1,2016,5
66,822,9,5876,0,2016,5
66,823,8,3221,0,2016,5
67,8,0,31,0,2016,5
67,9,0,17,0,2016,5
67,824,6,1571,1,2016,5
67,825,8,1153,0,2016,5
67,826,10,788,0,2016,5
68,8,0,371,0,2016,5
68,9,0,537,0,2016,5
68,827,8,11609,1,2016,5
68,828,8,10334,0,2016,5
68,829,8,6668,0,2016,5
68,830,8,3607,0,2016,5
68,831,8,2641,0,2016,5
68,832,8,1907,0,2016,5
68,833,18,684,0,2016,5
68,834,8,630,0,2016,5
68,835,8,548,0,2016,5
68,836,16,404,0,2016,5
69,8,0,1289,0,2016,5
69,9,0,666,0,2016,5
69,837,8,20437,1,2016,5
69,838,6,6949,0,2016,5
69,839,8,4660,0,2016,5
69,840,16,3827,0,2016,5
69,841,5,2138,0,2016,5
69,842,21,836,0,2016,5
70,8,0,682,0,2016,5
70,9,0,416,0,2016,5
70,371,5,397,0,2016,5
70,843,14,20405,1,2016,5
70,844,7,11256,0,2016,5
70,845,4,3376,0,2016,5
71,8,0,61,0,2016,5
71,9,0,42,0,2016,5
71,846,8,1326,1,2016,5
71,847,10,1223,0,2016,5
71,848,8,563,0,2016,5
72,8,0,66,0,2016,5
72,9,0,97,0,2016,5
72,849,11,3922,1,2016,5
72,850,6,3169,0,2016,5
72,851,8,1323,0,2016,5
73,8,0,195,0,2016,5
73,9,0,126,0,2016,5
73,852,8,5424,1,2016,5
73,853,8,660,0,2016,5
73,854,8,334,0,2016,5
74,8,0,130,0,2016,5
74,9,0,104,0,2016,5
74,855,8,6633,1,2016,5
74,856,10,4384,0,2016,5
74,857,12,126,0,2016,5
75,8,0,40,0,2016,5
75,9,0,48,0,2016,5
75,858,9,1059,1,2016,5
75,859,7,1057,0,2016,5
75,860,8,83,0,2016,5
76,8,0,193,0,2016,5
76,9,0,137,0,2016,5
76,861,8,6990,1,2016,5
76,862,1,6672,0,2016,5
77,8,0,28,0,2016,5
77,9,0,56,0,2016,5
77,863,11,2033,1,2016,5
77,864,7,1785,0,2016,5
77,865,8,54,0,2016,5
78,8,0,73,0,2016,5
78,9,0,134,0,2016,5
78,866,8,3778,1,2016,5
78,867,8,1067,0,2016,5
78,868,8,348,0,2016,5
78,869,8,233,0,2016,5
79,8,0,1154,0,2016,5
79,9,0,556,0,2016,5
79,870,9,19512,1,2016,5
79,871,8,15048,0,2016,5
79,872,8,3566,0,2016,5
79,873,8,2133,0,2016,5
80,8,0,81,0,2016,5
80,9,0,90,0,2016,5
80,874,8,1571,1,2016,5
80,875,8,1446,0,2016,5
80,876,8,977,0,2016,5
80,877,8,783,0,2016,5
80,878,16,279,0,2016,5
81,8,0,37,0,2016,5
81,9,0,62,0,2016,5
81,879,1,1791,1,2016,5
81,880,8,1437,0,2016,5
81,881,8,666,0,2016,5
81,882,8,395,0,2016,5
81,883,8,361,0,2016,5
82,8,0,154,0,2016,5
82,9,0,103,0,2016,5
82,884,8,4240,1,2016,5
82,885,8,2918,0,2016,5
82,886,8,880,0,2016,5
82,887,8,216,0,2016,5
83,8,0,1283,0,2016,5
83,9,0,678,0,2016,5
83,888,10,18378,1,2016,5
83,889,6,7415,0,2016,5
83,890,13,3078,0,2016,5
83,891,5,1772,0,2016,5
84,8,0,79,0,2016,5
84,9,0,57,0,2016,5
84,892,9,5024,1,2016,5
84,893,8,1780,0,2016,5
84,894,7,87,0,2016,5
85,8,0,319,0,2016,5
85,9,0,146,0,2016,5
85,895,10,6501,1,2016,5
85,896,6,4312,0,2016,5
85,897,8,384,0,2016,5
85,898,8,162,0,2016,5
86,8,0,141,0,2016,5
86,9,0,66,0,2016,5
86,899,9,2984,1,2016,5
86,900,8,2079,0,2016,5
86,901,8,333,0,2016,5
86,902,8,89,0,2016,5
87,8,0,120,0,2016,5
87,9,0,55,0,2016,5
87,903,11,2394,1,2016,5
87,904,8,1686,0,2016,5
87,905,7,444,0,2016,5
87,906,5,325,0,2016,5
88,8,0,27,0,2016,5
88,9,0,15,0,2016,5
88,907,6,1272,1,2016,5
88,908,8,1195,0,2016,5
88,909,8,298,0,2016,5
88,910,11,214,0,2016,5
89,8,0,58,0,2016,5
89,9,0,63,0,2016,5
89,911,6,1796,1,2016,5
89,912,8,1521,0,2016,5
89,913,9,609,0,2016,5
90,8,0,968,0,2016,5
90,9,0,448,0,2016,5
90,914,6,15440,1,2016,5
90,915,10,12402,0,2016,5
90,916,8,2608,0,2016,5
90,917,8,1296,0,2016,5
91,8,0,86,0,2016,5
91,9,0,90,0,2016,5
91,918,9,2632,1,2016,5
91,919,6,1638,0,2016,5
91,920,5,1203,0,2016,5
92,8,0,169,0,2016,5
92,9,0,171,0,2016,5
92,921,7,4647,1,2016,5
92,922,9,3988,0,2016,5
92,923,8,251,0,2016,5
93,8,0,22,0,2016,5
93,9,0,26,0,2016,5
93,924,10,1745,1,2016,5
93,925,7,985,0,2016,5
93,926,8,275,0,2016,5
93,927,8,133,0,2016,5
94,8,0,77,0,2016,5
94,9,0,69,0,2016,5
94,928,7,3290,1,2016,5
94,929,10,3030,0,2016,5
95,8,0,75,0,2016,5
95,9,0,89,0,2016,5
95,930,8,3740,1,2016,5
95,931,10,3016,0,2016,5
95,932,8,1319,0,2016,5
96,8,0,9,0,2016,5
96,9,0,13,0,2016,5
96,933,8,944,1,2016,5
96,934,8,415,0,2016,5
96,935,7,140,0,2016,5
97,8,0,77,0,2016,5
97,9,0,81,0,2016,5
97,936,6,3766,1,2016,5
97,937,11,2617,0,2016,5
98,8,0,83,0,2016,5
98,9,0,77,0,2016,5
98,938,8,3783,1,2016,5
98,939,8,1758,0,2016,5
98,940,8,523,0,2016,5
98,941,6,258,0,2016,5
99,8,0,25,0,2016,5
99,9,0,22,0,2016,5
99,942,8,404,1,2016,5
99,943,7,356,0,2016,5
99,944,10,292,0,2016,5
99,945,8,131,0,2016,5
100,8,0,92,0,2016,5
100,9,0,80,0,2016,5
100,946,6,3538,1,2016,5
100,947,2,2719,0,2016,5
100,948,8,678,0,2016,5
100,949,5,102,0,2016,5
101,8,0,196,0,2016,5
101,9,0,134,0,2016,5
101,950,8,7851,1,2016,5
101,951,9,4069,0,2016,5
101,952,7,441,0,2016,5
102,8,0,3,0,2016,5
102,9,0,10,0,2016,5
102,953,8,670,1,2016,5
102,954,10,237,0,2016,5
102,955,26,108,0,2016,5
103,8,0,74,0,2016,5
103,9,0,84,0,2016,5
103,956,8,4893,1,2016,5
103,957,8,1858,0,2016,5
103,958,16,295,0,2016,5
104,8,0,104,0,2016,5
104,9,0,130,0,2016,5
104,959,11,2630,1,2016,5
104,960,7,1074,0,2016,5
105,8,0,63,0,2016,5
105,9,0,74,0,2016,5
105,961,7,3489,1,2016,5
105,962,9,2515,0,2016,5
106,8,0,731,0,2016,5
106,9,0,277,0,2016,5
106,963,8,8772,1,2016,5
106,964,7,8444,0,2016,5
106,965,11,8221,0,2016,5
106,966,8,1207,0,2016,5
107,8,0,277,0,2016,5
107,9,0,187,0,2016,5
107,340,5,957,0,2016,5
107,967,8,5218,1,2016,5
107,968,6,2225,0,2016,5
108,8,0,81,0,2016,5
108,9,0,36,0,2016,5
108,969,2,1058,0,2016,5
108,970,8,1058,1,2016,5
108,971,8,199,0,2016,5
