comuna_datachile_id,candidato_id,votos_candidato,partido_id,electo,year,election_id
41,9,130,0,0,2017,1
41,147,3310,8,0,2017,1
41,535,407,30,0,2017,1
41,561,1888,9,0,2017,1
41,567,7527,8,0,2017,1
41,2550,10215,7,0,2017,1
41,2551,7225,8,0,2017,1
41,2552,169,28,0,2017,1
42,3,68,5,0,2017,1
42,8,21,0,0,2017,1
42,9,66,0,0,2017,1
42,147,96,8,0,2017,1
42,535,17,30,0,2017,1
42,561,191,9,0,2017,1
42,567,723,8,0,2017,1
42,2550,650,7,0,2017,1
42,2551,214,8,0,2017,1
42,2552,15,28,0,2017,1
43,3,3323,5,0,2017,1
43,8,564,0,0,2017,1
43,9,551,0,0,2017,1
43,147,7025,8,0,2017,1
43,535,253,30,0,2017,1
43,561,3879,9,0,2017,1
43,567,19035,8,0,2017,1
43,2550,25681,7,0,2017,1
43,2551,10819,8,0,2017,1
43,2552,313,28,0,2017,1
44,3,573,5,0,2017,1
44,8,108,0,0,2017,1
44,9,64,0,0,2017,1
44,147,1030,8,0,2017,1
44,535,56,30,0,2017,1
44,561,590,9,0,2017,1
44,567,2799,8,0,2017,1
44,2550,3815,7,0,2017,1
44,2551,1457,8,0,2017,1
44,2552,39,28,0,2017,1
45,3,734,5,0,2017,1
45,8,105,0,0,2017,1
45,9,103,0,0,2017,1
45,147,686,8,0,2017,1
45,535,42,30,0,2017,1
45,561,1021,9,0,2017,1
45,567,3707,8,0,2017,1
45,2550,5736,7,0,2017,1
45,2551,2254,8,0,2017,1
45,2552,44,28,0,2017,1
46,3,336,5,0,2017,1
46,8,89,0,0,2017,1
46,9,82,0,0,2017,1
46,147,522,8,0,2017,1
46,535,26,30,0,2017,1
46,561,266,9,0,2017,1
46,567,1142,8,0,2017,1
46,2550,2040,7,0,2017,1
46,2551,571,8,0,2017,1
46,2552,23,28,0,2017,1
47,3,259,5,0,2017,1
47,8,56,0,0,2017,1
47,9,76,0,0,2017,1
47,147,268,8,0,2017,1
47,535,14,30,0,2017,1
47,561,454,9,0,2017,1
47,567,1171,8,0,2017,1
47,2550,2099,7,0,2017,1
47,2551,919,8,0,2017,1
47,2552,32,28,0,2017,1
48,3,57,5,0,2017,1
48,8,15,0,0,2017,1
48,9,31,0,0,2017,1
48,147,134,8,0,2017,1
48,535,4,30,0,2017,1
48,561,123,9,0,2017,1
48,567,391,8,0,2017,1
48,2550,744,7,0,2017,1
48,2551,253,8,0,2017,1
48,2552,12,28,0,2017,1
49,3,67,5,0,2017,1
49,8,21,0,0,2017,1
49,9,19,0,0,2017,1
49,147,90,8,0,2017,1
49,535,13,30,0,2017,1
49,561,115,9,0,2017,1
49,567,783,8,0,2017,1
49,2550,1384,7,0,2017,1
49,2551,255,8,0,2017,1
49,2552,8,28,0,2017,1
50,3,57,5,0,2017,1
50,8,21,0,0,2017,1
50,9,31,0,0,2017,1
50,147,68,8,0,2017,1
50,535,4,30,0,2017,1
50,561,78,9,0,2017,1
50,567,251,8,0,2017,1
50,2550,768,7,0,2017,1
50,2551,194,8,0,2017,1
50,2552,6,28,0,2017,1
51,3,32,5,0,2017,1
51,8,11,0,0,2017,1
51,9,25,0,0,2017,1
51,147,107,8,0,2017,1
51,535,4,30,0,2017,1
51,561,128,9,0,2017,1
51,567,384,8,0,2017,1
51,2550,578,7,0,2017,1
51,2551,105,8,0,2017,1
51,2552,9,28,0,2017,1
52,3,323,5,0,2017,1
52,8,45,0,0,2017,1
52,9,44,0,0,2017,1
52,147,260,8,0,2017,1
52,535,8,30,0,2017,1
52,561,390,9,0,2017,1
52,567,1108,8,0,2017,1
52,2550,1893,7,0,2017,1
52,2551,943,8,0,2017,1
52,2552,25,28,0,2017,1
53,3,379,5,0,2017,1
53,8,100,0,0,2017,1
53,9,81,0,0,2017,1
53,147,665,8,0,2017,1
53,535,66,30,0,2017,1
53,561,476,9,0,2017,1
53,567,1938,8,0,2017,1
53,2550,3008,7,0,2017,1
53,2551,988,8,0,2017,1
53,2552,46,28,0,2017,1
54,3,906,5,0,2017,1
54,8,163,0,0,2017,1
54,9,139,0,0,2017,1
54,147,1759,8,0,2017,1
54,535,59,30,0,2017,1
54,561,1991,9,0,2017,1
54,567,5881,8,0,2017,1
54,2550,6672,7,0,2017,1
54,2551,3412,8,0,2017,1
54,2552,104,28,0,2017,1
55,3,309,5,0,2017,1
55,8,110,0,0,2017,1
55,9,110,0,0,2017,1
55,147,783,8,0,2017,1
55,535,52,30,0,2017,1
55,561,624,9,0,2017,1
55,567,2510,8,0,2017,1
55,2550,4589,7,0,2017,1
55,2551,703,8,0,2017,1
55,2552,46,28,0,2017,1
56,3,149,5,0,2017,1
56,8,29,0,0,2017,1
56,9,37,0,0,2017,1
56,147,137,8,0,2017,1
56,535,5,30,0,2017,1
56,561,161,9,0,2017,1
56,567,713,8,0,2017,1
56,2550,1336,7,0,2017,1
56,2551,545,8,0,2017,1
56,2552,10,28,0,2017,1
57,3,542,5,0,2017,1
