comuna_datachile_id,candidato_id,votos_candidato,electo,partido_id,year,election_id
83,2,18320,0,6,2013,2
83,8,742,0,0,2013,2
83,9,261,0,0,2013,2
84,1,3110,1,10,2013,2
84,2,2504,0,6,2013,2
84,8,46,0,0,2013,2
84,9,15,0,0,2013,2
85,1,7410,1,10,2013,2
85,2,4292,0,6,2013,2
85,8,137,0,0,2013,2
85,9,47,0,0,2013,2
86,1,3062,1,10,2013,2
86,2,2222,0,6,2013,2
86,8,39,0,0,2013,2
86,9,31,0,0,2013,2
87,1,2607,1,10,2013,2
87,2,1813,0,6,2013,2
87,8,31,0,0,2013,2
87,9,13,0,0,2013,2
88,1,1435,1,10,2013,2
88,2,751,0,6,2013,2
88,8,24,0,0,2013,2
88,9,11,0,0,2013,2
89,1,1999,1,10,2013,2
89,2,1276,0,6,2013,2
89,8,41,0,0,2013,2
89,9,16,0,0,2013,2
90,1,32739,1,10,2013,2
90,2,16921,0,6,2013,2
90,8,695,0,0,2013,2
90,9,292,0,0,2013,2
91,1,3531,1,10,2013,2
91,2,1510,0,6,2013,2
91,8,79,0,0,2013,2
91,9,25,0,0,2013,2
92,1,5651,1,10,2013,2
92,2,3204,0,6,2013,2
92,8,127,0,0,2013,2
92,9,50,0,0,2013,2
93,1,1827,1,10,2013,2
93,2,460,0,6,2013,2
93,8,26,0,0,2013,2
93,9,9,0,0,2013,2
94,1,3929,1,10,2013,2
94,2,2030,0,6,2013,2
94,8,51,0,0,2013,2
94,9,25,0,0,2013,2
95,1,4708,1,10,2013,2
95,2,2424,0,6,2013,2
95,8,63,0,0,2013,2
95,9,25,0,0,2013,2
96,1,569,1,10,2013,2
96,2,425,0,6,2013,2
96,8,14,0,0,2013,2
96,9,7,0,0,2013,2
97,1,3377,1,10,2013,2
97,2,1957,0,6,2013,2
97,8,40,0,0,2013,2
97,9,28,0,0,2013,2
98,1,3429,1,10,2013,2
98,2,1706,0,6,2013,2
98,8,82,0,0,2013,2
98,9,29,0,0,2013,2
99,1,171,1,10,2013,2
99,2,147,0,6,2013,2
99,8,6,0,0,2013,2
99,9,2,0,0,2013,2
100,1,3471,1,10,2013,2
100,2,3163,0,6,2013,2
100,8,59,0,0,2013,2
100,9,27,0,0,2013,2
101,1,7902,1,10,2013,2
101,2,3618,0,6,2013,2
101,8,144,0,0,2013,2
101,9,45,0,0,2013,2
102,1,333,1,10,2013,2
102,2,177,0,6,2013,2
102,8,1,0,0,2013,2
102,9,3,0,0,2013,2
103,1,4158,1,10,2013,2
103,2,2229,0,6,2013,2
103,8,78,0,0,2013,2
103,9,32,0,0,2013,2
104,1,1928,1,10,2013,2
104,2,1102,0,6,2013,2
104,8,38,0,0,2013,2
104,9,16,0,0,2013,2
105,1,3717,1,10,2013,2
105,2,1192,0,6,2013,2
105,8,51,0,0,2013,2
105,9,16,0,0,2013,2
106,1,22625,1,10,2013,2
106,2,9795,0,6,2013,2
106,8,474,0,0,2013,2
106,9,159,0,0,2013,2
107,1,6086,1,10,2013,2
107,2,2379,0,6,2013,2
107,8,116,0,0,2013,2
107,9,46,0,0,2013,2
108,1,732,1,10,2013,2
108,2,458,0,6,2013,2
108,8,22,0,0,2013,2
108,9,10,0,0,2013,2
109,1,2436,1,10,2013,2
109,2,750,0,6,2013,2
109,8,43,0,0,2013,2
109,9,23,0,0,2013,2
110,1,17729,1,10,2013,2
110,2,9844,0,6,2013,2
110,8,510,0,0,2013,2
110,9,174,0,0,2013,2
111,1,8633,1,10,2013,2
111,2,2362,0,6,2013,2
111,8,86,0,0,2013,2
111,9,60,0,0,2013,2
112,1,17585,1,10,2013,2
112,2,11768,0,6,2013,2
112,8,479,0,0,2013,2
112,9,167,0,0,2013,2
113,1,24943,1,10,2013,2
113,2,20860,0,6,2013,2
113,8,727,0,0,2013,2
113,9,268,0,0,2013,2
114,1,6801,1,10,2013,2
114,2,4043,0,6,2013,2
114,8,125,0,0,2013,2
114,9,45,0,0,2013,2
115,1,933,1,10,2013,2
115,2,415,0,6,2013,2
115,8,14,0,0,2013,2
115,9,14,0,0,2013,2
116,1,149,1,10,2013,2
116,2,93,0,6,2013,2
116,8,10,0,0,2013,2
116,9,2,0,0,2013,2
117,1,19784,1,10,2013,2
