"","reply_ratio_2015","available_2013","available_2011","available_2009","available_2006","available_2003","available_2000","available_1998","available_1996","available_1994","available_1992","available_1990"
"y20d",1,0,0,0,0,0,0,0,0,0,0,0
"y20e",1,0,0,0,0,0,0,0,0,0,0,0
"y20am",0.0631,0,0,0,0,0,0,0,0,0,0,0
"y20bm",0.0011,0,0,0,0,0,0,0,0,0,0,0
"y20cm",0.0327,0,0,0,0,0,0,0,0,0,0,0
"y20dm",0.0001,0,0,0,0,0,0,0,0,0,0,0
"y20em",0.0015,0,0,0,0,0,0,0,0,0,0,0
"y21a",0.3756,1,0,0,0,0,0,0,0,0,0,0
"y21b",0.3673,1,0,0,0,0,0,0,0,0,0,0
"y22a",1,0,0,0,0,0,0,0,0,0,0,0
"y22b",1,0,0,0,0,0,0,0,0,0,0,0
"y22c",1,0,0,0,0,0,0,0,0,0,0,0
"y22d",1,0,0,0,0,0,0,0,0,0,0,0
"y22e",1,0,0,0,0,0,0,0,0,0,0,0
"y22am",0.0024,0,0,0,0,0,0,0,0,0,0,0
"y22bm",0.0015,0,0,0,0,0,0,0,0,0,0,0
"y22cm",0.0017,0,0,0,0,0,0,0,0,0,0,0
"y22dm",0.0024,0,0,0,0,0,0,0,0,0,0,0
"y22em",0.0032,0,0,0,0,0,0,0,0,0,0,0
"y23a",0.0039,0,0,0,0,0,0,0,0,0,0,0
"y23a_o",0.0039,0,0,0,0,0,0,0,0,0,0,0
"y23b",1,0,0,0,0,0,0,0,0,0,0,0
"y23c",1,0,0,0,0,0,0,0,0,0,0,0
"y23bm",0.0032,0,0,0,0,0,0,0,0,0,0,0
"y23cm",0.0046,0,0,0,0,0,0,0,0,0,0,0
"y24",0.0521,0,0,0,0,0,0,0,0,0,0,0
"y24_o",0.0521,0,0,0,0,0,0,0,0,0,0,0
"y25a",1,0,0,0,0,0,0,0,0,0,0,0
"y25b",1,0,0,0,0,0,0,0,0,0,0,0
"y25c",1,0,0,0,0,0,0,0,0,0,0,0
"y25d",1,0,0,0,0,0,0,0,0,0,0,0
"y25am",0.0772,0,0,0,0,0,0,0,0,0,0,0
"y25bm",0.0065,0,0,0,0,0,0,0,0,0,0,0
"y25cm",0.005,0,0,0,0,0,0,0,0,0,0,0
"y25dm",0.0439,0,0,0,0,0,0,0,0,0,0,0
"y25e",0.0036,0,0,0,0,0,0,0,0,0,0,0
"y25e_o",0.0036,0,0,0,0,0,0,0,0,0,0,0
"y25ep",0.0036,0,0,0,0,0,0,0,0,0,0,0
"y25f",0.0056,0,0,0,0,0,0,0,0,0,0,0
"y25f_o",0.0056,0,0,0,0,0,0,0,0,0,0,0
"y25fp",0.0056,0,0,0,0,0,0,0,0,0,0,0
"y25g",0.0057,0,0,0,0,0,0,0,0,0,0,0
"y25gp",0.0056,0,0,0,0,0,0,0,0,0,0,0
"y25g_esp",0.0056,0,0,0,0,0,0,0,0,0,0,0
"y26_1a",1,0,0,0,0,0,0,0,0,0,0,0
"y26_1b",1,0,0,0,0,0,0,0,0,0,0,0
