date_id,date_index,year_id,quarter_id,quarter_name,month_id,month_name,week_id,week_name
131,1992-27,1992,2,1992-Q2,6,1992-6,27,1992-27
132,1992-28,1992,3,1992-Q3,7,1992-7,28,1992-28
133,1992-29,1992,3,1992-Q3,7,1992-7,29,1992-29
134,1992-30,1992,3,1992-Q3,7,1992-7,30,1992-30
135,1992-31,1992,3,1992-Q3,7,1992-7,31,1992-31
136,1992-32,1992,3,1992-Q3,8,1992-8,32,1992-32
137,1992-33,1992,3,1992-Q3,8,1992-8,33,1992-33
138,1992-34,1992,3,1992-Q3,8,1992-8,34,1992-34
139,1992-35,1992,3,1992-Q3,8,1992-8,35,1992-35
140,1992-36,1992,3,1992-Q3,8,1992-8,36,1992-36
141,1992-37,1992,3,1992-Q3,9,1992-9,37,1992-37
142,1992-38,1992,3,1992-Q3,9,1992-9,38,1992-38
143,1992-39,1992,3,1992-Q3,9,1992-9,39,1992-39
144,1992-40,1992,3,1992-Q3,9,1992-9,40,1992-40
145,1992-41,1992,4,1992-Q4,10,1992-10,41,1992-41
146,1992-42,1992,4,1992-Q4,10,1992-10,42,1992-42
147,1992-43,1992,4,1992-Q4,10,1992-10,43,1992-43
148,1992-44,1992,4,1992-Q4,10,1992-10,44,1992-44
149,1992-45,1992,4,1992-Q4,11,1992-11,45,1992-45
150,1992-46,1992,4,1992-Q4,11,1992-11,46,1992-46
151,1992-47,1992,4,1992-Q4,11,1992-11,47,1992-47
152,1992-48,1992,4,1992-Q4,11,1992-11,48,1992-48
153,1992-49,1992,4,1992-Q4,11,1992-11,49,1992-49
154,1992-50,1992,4,1992-Q4,12,1992-12,50,1992-50
155,1992-51,1992,4,1992-Q4,12,1992-12,51,1992-51
156,1992-52,1992,4,1992-Q4,12,1992-12,52,1992-52
157,1992-53,1992,4,1992-Q4,12,1992-12,53,1992-53
158,1993-53,1993,1,1993-Q1,1,1993-1,53,1993-53
159,1993-1,1993,1,1993-Q1,1,1993-1,1,1993-1
160,1993-2,1993,1,1993-Q1,1,1993-1,2,1993-2
161,1993-3,1993,1,1993-Q1,1,1993-1,3,1993-3
